x,y,t
-0.5596644605103286,0.17128069188555595,5.225
-0.5519540937073917,0.1661255019850698,5.25
-0.5413801076827232,0.1592220394150171,5.275
-0.5279325491731326,0.15071369755331743,5.3
-0.511605813480184,0.14077971880705742,5.325
-0.49240293345853353,0.1296326343885411,5.35
-0.4703404253205939,0.11751493819484804,5.375
-0.4454534829478436,0.10469491538937681,5.4
-0.4178012822403085,0.09146156462241284,5.425
-0.3874721335130265,0.07811858368287772,5.45
-0.35458820580093225,0.06497743112431997,5.475
-0.3192956639469388,0.05234485228819474,5.5
-0.281772082458076,0.04051863303801506,5.525
-0.242241266794701,0.02978395773843312,5.55
-0.20095773152476493,0.020400086698441733,5.575
-0.1582055169446712,0.01259379462742416,5.6
-0.11429585693513128,0.006553243959464106,5.625
-0.06956375301553396,0.0024224921007922617,5.65
-0.024363589250672255,0.00029683629648113996,5.675
0.02093602596176724,0.00021918261204456613,5.7
0.06595795893856761,0.0021775971383193315,5.725
0.11032251999131536,0.006104159590771929,5.75
0.15367262667149859,0.011878183718281532,5.775
0.19570399923881387,0.01933698719594079,5.8
0.23611005386251982,0.028273679236258453,5.825
0.2746188512309353,0.03844683633789581,5.85
0.3109962387384519,0.04958885765657406,5.875
0.34504586609257143,0.06141417531883253,5.9
0.3766079618874282,0.07362726559823807,5.925
0.40555701395619054,0.08593024969046359,5.95
0.4317985371475145,0.09802992105210795,5.975
0.45526513932560203,0.10964408638183343,6.0
0.4759121105897185,0.12050715580282312,6.025
0.49372540075346205,0.1303821364238006,6.05
0.5087027013866806,0.13905774781237878,6.075
0.5208387461091318,0.14634491710558695,6.1
0.5301369521354328,0.1520879691969491,6.125
0.5366057398003352,0.15616691223125467,6.15
0.5402556087990859,0.15849903317873182,6.175
0.541097090533246,0.15903987097100958,6.2
0.5391396525541623,0.15778361744515024,6.225
0.5343915916479759,0.15476297597896072,6.25
0.5268609128377708,0.15004848460412112,6.275
0.5165571527403219,0.1437472873311222,6.3
0.5034900806138248,0.1359989937948659,6.325
0.48765778045619285,0.12696512717959563,6.35
0.46907218276569324,0.11684016885083137,6.375
0.4477585100063036,0.10584547380392084,6.4
0.4237585058185409,0.09422479127189753,6.425
0.39713490544850844,0.0822397552332067,6.45
0.3679757617470043,0.0701646173828876,6.475
0.3363984047932768,0.05828023634812751,6.5
0.30255281293769026,0.04686737786208839,6.525
0.2666241840167101,0.03619942700918488,6.55
0.22883297038414968,0.02653429867038104,6.575
0.1894154299632804,0.0181029611553839,6.6
0.14864808998610776,0.011109841618654803,6.625
0.10683282299152319,0.005723002412475697,6.65
0.06428653567896152,0.0020685187196479715,6.675
0.02133713655394817,0.00022766261329365545,6.7
-0.021680986415313228,0.0002350602126223178,6.725
-0.06443176539387534,0.002077884998920032,6.75
-0.10658230510198331,0.0056961167534607116,6.775
-0.14780756088337485,0.010983860118699895,6.8
-0.1877946215979921,0.017791681923398195,6.825
-0.2262463916539193,0.025929894584798663,6.85
-0.2628934531222492,0.03517512868631967,6.875
-0.2975403195144132,0.04529074673843192,6.9
-0.3299972109075721,0.056018092973587064,6.925
-0.36010311721748794,0.06708749340023956,6.95
-0.3877304284609442,0.07822718913742488,6.975
-0.4127819947605105,0.08917014497682729,7.0
-0.43518756549117654,0.09966018479583894,7.025
-0.4548998244235271,0.10945738465840715,7.05
-0.47189023897107923,0.1183426956215824,7.075
-0.4861449330684736,0.12612180250801008,7.1
-0.49766333619464415,0.1326297193195881,7.125
-0.5064580838170898,0.13773541802047695,7.15
-0.5125278225587703,0.14132938148369967,7.175
-0.515872452246758,0.1433345968157017,7.2
-0.5164938625472274,0.14370910903417544,7.225
-0.5143949248403816,0.1424465839969744,7.25
-0.5095793500466155,0.1395763334228486,7.275
-0.502052416114007,0.13516280637677935,7.3
-0.491822533457884,0.12930453338548464,7.325
-0.4789035816685454,0.12213249321720598,7.35
-0.46331791674979644,0.1138078605524484,7.375
-0.4450999157275929,0.10451908729482695,7.4
-0.42429338070083195,0.0944752200555421,7.425
-0.400939204873685,0.08389533676808669,7.45
-0.3751098933596391,0.07301965074564809,7.475
-0.34690080107832455,0.062098174534660155,7.5
-0.3164318425871243,0.05138475186358227,7.525
-0.2838501525457964,0.04113134846334232,7.55
-0.24933205627965627,0.031581946827012986,7.575
-0.21308421804439254,0.02296616434208898,7.6
-0.17534386477480968,0.015492748078596796,7.625
-0.13637802218083295,0.009343129501418024,7.65
-0.09647641553701082,0.004664729226814712,7.675
-0.055927779881220635,0.0015651831804152083,7.7
-0.015050109628836014,0.00011325931375605336,7.725
0.025835395522938766,0.0003337895386413825,7.75
0.0664124617349743,0.0022077446049700855,7.775
0.10637395017433544,0.005673804667548743,7.8
0.14542574198054856,0.010630830493790433,7.825
0.18329012768106587,0.016941136505723486,7.85
0.21970855879532022,0.02443444649163462,7.875
0.25444365250593903,0.03291239915949862,7.9
0.28728037571305165,0.04215346441605383,7.925
0.3180263708169077,0.05191813250910304,7.95
0.34652533417138554,0.061959386392353655,7.975
0.3726767821376462,0.0720387852633444,8.0
0.3963799775191267,0.08191344992863736,8.025
0.4175581036526093,0.09134977572553438,8.05
0.43615670803077716,0.10012927259536031,8.075
0.4521400097125309,0.10805302196983002,8.1
0.46548724160478966,0.11494540964799005,8.125
0.4761892062027215,0.12065715452047832,8.15
0.48424520239796054,0.12506766892830035,8.175
0.4896604557873959,0.12808679443531779,8.2
0.49244465472757876,0.12965623916165414,8.225
0.4926089677521094,0.12974922873334882,8.25
0.49015410806862725,0.12836421003755905,8.275
0.485081014040307,0.12553078395084283,8.3
0.47739339654521734,0.12131032500943717,8.325
0.46709912345929927,0.11579504137131513,8.35
0.4542122582113542,0.10910650216171058,8.375
0.4387556667569384,0.10139359845999629,8.4
0.4207640797375285,0.0928299006235761,8.425
0.40028747131795867,0.08361037745625122,8.45
0.3773945943798602,0.07394745282308046,8.475
0.35217649479287527,0.06406639310504303,8.5
0.3247378675009968,0.054195941322461305,8.525
0.2951963600044449,0.044563393500057336,8.55
0.26370656920381585,0.035397053001208656,8.575
0.23044594107963284,0.02691487102107948,8.6
0.19561516094960893,0.019319262549396976,8.625
0.15943799636026765,0.012792055686025594,8.65
0.12216036211980685,0.007489624272492779,8.675
0.08404862531734682,0.003538345653850916,8.7
0.04538720432108631,0.0010305301542413714,8.725
0.00647555266698568,2.0966610970840627e-5,8.75
-0.032376021266292694,0.0005242407907209978,8.775
-0.07088236412100514,0.002515318184475923,8.8
-0.10875801761416588,0.005931746003003724,8.825
-0.14572001005889657,0.010674129182686842,8.85
-0.18150607753131548,0.016610177081745392,8.875
-0.21587683819772854,0.0235793986556041,8.9
-0.24861720340306476,0.031398179760104394,8.925
-0.2795369987133672,0.03986507909027548,8.95
-0.3084708068206851,0.048766189972520135,8.975
-0.3352770786050561,0.05788043191850689,9.0
-0.35983658763935866,0.06698465704144918,9.025
-0.3820503264049161,0.07585848048369936,9.05
-0.401850700366024,0.08429479928563466,9.075
-0.41919357442182675,0.09210311865088316,9.1
-0.43403436644876076,0.0991036859097364,9.125
-0.446343245406457,0.1051381630217817,9.15
-0.45610223446776044,0.11007261435917359,9.175
-0.463302536235059,0.11379981950003992,9.2
-0.46794231560310623,0.11624098914466341,9.225
-0.47002503541772356,0.11734691634789618,9.25
-0.46955841270695675,0.11709859154256452,9.275
-0.4665540348438922,0.11550730213817806,9.3
-0.4610276461610715,0.11261422736490645,9.325
-0.45299411078991053,0.10848649163926949,9.35
-0.4424647779515394,0.10321411681924042,9.375
-0.4294586496224115,0.09691347686697549,9.4
-0.4140032566719717,0.08972460020881512,9.425
-0.3961373062449108,0.08180871568010095,9.45
-0.3759135583039692,0.07334526565540689,9.475
-0.3534017988213215,0.06452837103958398,9.5
-0.3286917650718668,0.05556274767778213,9.525
-0.3018958715660315,0.04665909416862524,9.55
-0.27315158455124144,0.038028996353244526,9.575
-0.24262269761386643,0.02987927215084707,9.6
-0.21048102956138195,0.0224020580040174,9.625
-0.17692654680629863,0.01577594164987073,9.65
-0.14218365520791362,0.010159705714241407,9.675
-0.10649126697034274,0.005686362328741312,9.7
-0.07010099523432821,0.002460100814430266,9.725
-0.03327485456894841,0.0005537612990804686,9.75
0.0037174306171800535,6.909669068577706e-6,9.775
0.04060138991685016,0.0008245763947054563,9.8
0.07710090927275716,0.002976705493139442,9.825
0.11294132879193315,0.006398341260083984,9.85
0.14785238883867927,0.010990560654401071,9.875
0.18159102224353904,0.016625859278094235,9.9
0.2139529196450654,0.023156026698555987,9.925
0.24473149602006491,0.030409109543730883,9.95
0.27374568371747293,0.03819788904055044,9.975
0.3008400803560912,0.04632539823515247,10.0
0.3258838946759069,0.054590201451845344,10.025
0.34876932591669096,0.06279140139474981,10.05
0.36940948961148884,0.07073328425850778,10.075
0.38773601535795393,0.07822953920494036,10.1
0.4036964480214129,0.08510701289446165,10.125
0.417253180445321,0.09120971428592817,10.15
0.4283901309542731,0.09640612236415591,10.175
0.43708555894437784,0.10058006795363894,10.2
0.4433230102863673,0.10363807055931173,10.225
0.4470935763636495,0.10551280949677011,10.25
0.44839451865596747,0.10616424571441352,10.275
0.44722844354527735,0.10558023317679932,10.3
0.4436030614139226,0.10377663280619842,10.325
0.4375315380658332,0.10079693439259985,10.35
0.4290334204364354,0.09671138380437183,10.375
0.41813609298348114,0.09161560573482463,10.4
0.40487669662404163,0.08562870750946927,10.425
0.3892953982296694,0.07888703574577616,10.45
0.371433082967616,0.07154027288353959,10.475
0.35135195252145307,0.0637565458389775,10.5
0.3291291231213852,0.05571507461288572,10.525
0.3048588803089946,0.04760246582808392,10.55
0.2786548372464993,0.039608683046786886,10.575
0.25065175876715007,0.031922680863282316,10.6
0.22100694563484943,0.024727766220551728,10.625
0.18990108738502745,0.01819677276452991,10.65
0.15753851200449218,0.012487155913701309,10.675
